id,date,username,content,url
1329084086988668931,2020-11-18 15:28:34+00:00,galts1teaparty,@dougducey @PhoenixDiocese @BishopOlmsted #UnMaskOurKids https://t.co/cI0fgGxbeQ,https://twitter.com/galts1teaparty/status/1329084086988668931
1327645303332335617,2020-11-14 16:11:21+00:00,mericanmom,@GovAbbott #unmasktexas #unmaskourkids #masksareworthless #texansagainsttyranny Government can not control a virus even with sharia mask mandates. https://t.co/BtgQ7o4nct,https://twitter.com/mericanmom/status/1327645303332335617
1326227772289806339,2020-11-10 18:18:35+00:00,heids_short,"We have to give our consent for everything our kids do at school these days, but on this we've been silent. Grateful for the work @PanData19 are doing to save our children. @HealthZA @DBE_SA  #IDoNotConsent #unmaskourkids @abirballan @heikebru https://t.co/U9Jh4o8ug9",https://twitter.com/heids_short/status/1326227772289806339
1324949563149529088,2020-11-07 05:39:26+00:00,heids_short,"Exactly! And part of that group includes our children, sitting at school for hours with masks on... #unmaskourkids https://t.co/TfhGpHS36o",https://twitter.com/heids_short/status/1324949563149529088
1324193300950274050,2020-11-05 03:34:19+00:00,mericanmom,@GovAbbott is the virus over now? #unmasktexas #unmaskourkids,https://twitter.com/mericanmom/status/1324193300950274050
1323716771598258178,2020-11-03 20:00:46+00:00,heikebru,"Hear, hear. Join us: #unmaskourkids https://t.co/dKgjPa4PfM",https://twitter.com/heikebru/status/1323716771598258178
1323659110865317889,2020-11-03 16:11:39+00:00,heids_short,I cannot comprehend how parents around the world are allowing their kids to spend HOURS in masks everyday when there is ZERO evidence that this is effective &amp; is against the advice of @WHO. It is time to stand up for our kids! #backtolife #unmaskourkids,https://twitter.com/heids_short/status/1323659110865317889
1322741508286631937,2020-11-01 03:25:25+00:00,BarSolara,"Was honestly so happy to see lots of kids out Trick or Treating tonight. Time to push back people. You can’t cancel holidays. 
#onpoli #Halloween2020 #halloweenisnotcancelled #unmaskourkids",https://twitter.com/BarSolara/status/1322741508286631937
1321119494530617346,2020-10-27 16:00:07+00:00,centralnjmommy,"@SWAtlasHoover @GovRonDeSantis Please UN-MASK OUR CHILDREN IN SCHOOLS! Especially the little ones! There’s no data that they get the virus, not that they transmit it. #Unmaskamerica #UnMaskOurKids #NoSchoolMaskMandates",https://twitter.com/centralnjmommy/status/1321119494530617346
1321086613053734914,2020-10-27 13:49:27+00:00,Catharine_L,"I made it on air to discuss this important, yet ignored issue by the @DSISD Board of Trustees.  They refuse to follow the science and get masks off our kids under 10 years of age.  #DrippingKidsFirst #UnMaskOurKids @NewsRadioKLBJ https://t.co/XYKzDNDSjm",https://twitter.com/Catharine_L/status/1321086613053734914
1321085449427996679,2020-10-27 13:44:50+00:00,DrippingKids1st,.Parents upset with @DSISD board citing lack of metrics and transparency regarding #masks on kids under 10 in district. On-Air being discussed with #DrippingSprings parents right now on: https://t.co/4QIq7HwxL3  #DrippingKidsFirst #UnMaskOurKids,https://twitter.com/DrippingKids1st/status/1321085449427996679
1319520973524172800,2020-10-23 06:08:10+00:00,stardrops444,"If you’ve seen children on playgrounds wearing masks in 80-90 degree weather, social distanced like prisoners, or running around with cloth over their noses and mouths, and you DONT have mask hesitancy,then they must not be your babies.  #heartbreaking #UnmaskTexas #unmaskourkids",https://twitter.com/stardrops444/status/1319520973524172800
