,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet
0,1352719878696935424,lostcreatives1,Scotland ,Behind the scenes and on set with the Lost Creative Team #KBF,2019-08-29 13:22:50,933,2021-01-22 20:48:46,@talkRADIO @mrmarkdolan this whole thing is now based on speculation and failed endeavors.  if these measures worke… https://t.co/GaA0dddxzk,0,0,False
1,1352708424828661766,lostcreatives1,Scotland ,Behind the scenes and on set with the Lost Creative Team #KBF,2019-08-29 13:22:50,933,2021-01-22 20:03:15,@DarrenPlymouth speculation and fear porn are the only things keeping this together.  #Idonotconsent,2,0,False
2,1352700896241704966,AliveAwakeReal,UK ,"🇦🇺 🇬🇧 Doing my best to shine a light on The Truth🔥Known as Mumma 🐻 & Earth 👼 Lighting the way with Love 💗Warrior Heart. Forgiving Spirit, mostly 🐻 ✨💗",2015-10-09 20:09:03,364,2021-01-22 19:33:20,"https://t.co/G73mGDt3yL

This breaks my heart.  These needless death must stop. 

PLEASE. PEOPLE. DO YOUR RESEARCH 

🙏

#IDoNotConsent",1,1,True
3,1352685345939320832,DeniseVFriend,"Brighton, England",,2018-08-12 13:44:39,81,2021-01-22 18:31:32,"@BlackmoreSpeaks I really, really hope so, but I won't hold my breath.
People are scared.

#IDoNotConsent",0,0,False
4,1352685252456677377,The_Forerunner_,,Saint John was the voice in the wilderness. The thunder before the storm. Eastern Orthodox of https://t.co/45xvfslmmH,2020-12-21 22:15:42,65,2021-01-22 18:31:10,@EwaMazierska @drumsolo1950 It's just people doing more virtue signaling. I #Resist and #IDoNotConsent!,2,0,False
5,1352681862599204864,DeniseVFriend,"Brighton, England",,2018-08-12 13:44:39,81,2021-01-22 18:17:42,"@SeanWal33531685 @saveourrightsuk Or a single politician!

#IDoNotConsent",1,0,False
6,1352670716898979841,gaminggodjonYT,,small Youtuber and twitch streamer | 20 years old | over 2k subs on YouTube,2017-11-27 03:53:27,33,2021-01-22 17:33:24,"So people are getting a vaccine for a fake virus that has over a 90% survival rate.

We live in a world where no on… https://t.co/Tckbe5GBD0",0,0,False
7,1352667929775632385,Cagsil,USA,"Knowledge, Experience & Wisdom Is Shared. It's Known Universal Knowledge & Truth Exists. #Cagsil #EqualRights #Advocate #Activist #Consciousness",2010-02-25 02:10:51,6332,2021-01-22 17:22:20,"RT @Cagsil: Now would be extremely helpful to the rest of us. Just to let you know. No pressure, but a decision will come soon.

#Resist Ty…",0,4,True
8,1352637251734257670,Roxannemyles5,"RABBIT HOLE! SAVE LIL GIRL, ME","I Was Captured @ Birth, I Was Named & Placed In Satans Nazi American Naval Base Argentia Nfld MK Mannequin SRA I Am A Life Long True Targeted Angel 144",2018-10-13 15:16:23,1888,2021-01-22 15:20:26,"RT @trippin_free: #Distophia #Future
#FuckThe33 #FuckTheNewWorld
#idonotconsent neither should anyone. You are giving up ur #FreeWill This…",0,7,True
9,1352594409217515523,AgreeT0D1sagree,"England, United Kingdom","Correcting someone on your/you’re, there/their/they’re doesn’t make you better than anyone it makes you a dick 🤷🏻‍♀️ and autocorrects a bitch 🟥",2020-04-08 09:06:32,781,2021-01-22 12:30:11,"People need to wake up 

As individuals we are tiny and insignificant but together we are strong and powerful! 

An… https://t.co/DqfJGKEks4",2,0,False
10,1352580426267815936,FunTimeFred1,,"Scientist. PhD
Covid’s just ONE of many risks
Stop f*cking up our society & economy 
Lockdowns and mass masking don’t work

TRUTH WILL OUT",2020-05-11 10:03:27,1367,2021-01-22 11:34:38,"RT @MeIAmBen1: So I’m happy to debate with people but when they get personal I’m going to block, last night I was basically ripped to piece…",0,1,True
11,1352580020569575424,MeIAmBen1,,#Nonewnormal #Novaccine #IDoNotConsent,2020-12-08 07:31:34,563,2021-01-22 11:33:01,"So I’m happy to debate with people but when they get personal I’m going to block, last night I was basically ripped… https://t.co/f0FidTpfDp",11,1,True
12,1352576763549908994,OldCrow36721803,,Crow knows.We wait with hidden knowledge until The Great Spirit calls upon us to heal mankind.This is our purpose. Annishinabwae,2020-04-06 10:59:50,1841,2021-01-22 11:20:04,"@BorisJohnson @MattHancock @10DowningStreet  @BBCWorld @NHSConfed 

#IDoNotConsent 
COVID IS A COVER UP!
THEY WILL… https://t.co/hAF53xKWyO",0,0,False
13,1352564339329392641,AngelHCaldwell1,"Walnutport, PA","💝Wife, Mother, Christian ✝️, L❤️VE 🇺🇸and 🇭🇺. #80sgirl I follow back most 😘",2013-10-29 05:38:10,1273,2021-01-22 10:30:42,"WATCH this guys video! .... https://t.co/GOr3nKGOii 

#OLDnormalNOTnew #IDONOTCONSENT #MyBodyMyChoiceFLIPPED… https://t.co/Oz7jncU3Gl",0,0,False
14,1352552131203657729,tolloc_maire,,,2018-05-11 08:37:06,14,2021-01-22 09:42:11,"@BorisJohnson @CMO_England @uksciencechief #JonathanVanTam The world is waking up &amp; fighting back.

#WakeUpPeople… https://t.co/pqTYSLciUY",1,0,False
15,1352539517614493696,lostcreatives1,Scotland ,Behind the scenes and on set with the Lost Creative Team #KBF,2019-08-29 13:22:50,933,2021-01-22 08:52:04,"@pritipatel rules, not laws.  2-tier policing, violation of human rights, fraud, the Nurenberg code is being violat… https://t.co/mgT9invvyV",5,1,True
16,1352506303718039552,AliveAwakeReal,UK ,"🇦🇺 🇬🇧 Doing my best to shine a light on The Truth🔥Known as Mumma 🐻 & Earth 👼 Lighting the way with Love 💗Warrior Heart. Forgiving Spirit, mostly 🐻 ✨💗",2015-10-09 20:09:03,364,2021-01-22 06:40:05,"Fear
Always fear
It’s the governments weapon against us

#IDoNotConsent https://t.co/qIl6voTZTh",1,0,False
17,1352438185121488896,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 02:09:25,"RT @AliveAwakeReal: Oh if only people could put the pieces together. 
It doesn’t afford ‘immunity’. It doesn’t negate the need for masks or…",0,1,True
18,1352438126376071170,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 02:09:11,RT @MeIAmBen1: When are the funeral homes going to become overwhelmed? When are the waiting list for funerals going to begin? Asking for a…,0,16,True
19,1352433657089286144,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 01:51:25,RT @Asundancemedia: #IDONOTCONSENT to false claims being made against my Person. I categorically state that all false and defamatory allega…,0,1,True
20,1352433461785731073,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 01:50:38,"RT @MeIAmBen1: Anyone else done, over it, f****d off, had enough, I use to live, I now just exist, the wine is more inviting then ever befo…",0,1,True
21,1352431518342373380,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 01:42:55,Me too. Someone who values liberty over life #idonotconsent https://t.co/aFoUH2L6e9,1,0,False
22,1352431150992601093,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 01:41:28,"RT @Cagsil: Now would be extremely helpful to the rest of us. Just to let you know. No pressure, but a decision will come soon.

#Resist Ty…",0,4,True
23,1352431084357775360,tinwisc,"Mount Pleasant, WI","Mother to 2 Intl adopted kids, 2 dogs, cat, pain patient.",2011-10-23 04:00:50,744,2021-01-22 01:41:12,"RT @WeWillBeFree82: The only way this ends is when you stop complying. It’s that simple.
Stop wearing a mask.
Stop anti-social distancing.…",0,56,True
24,1352395526130593795,Naomi87918345,"England, United Kingdom",Family is life. Follow 17 live a safe but happy life x,2020-03-22 09:18:25,170,2021-01-21 23:19:54,"RT @MeIAmBen1: It’s the 21/1/21 and I don’t know who needs to hear it, but Covid is still a scam #coronavirus #COVID19 #IDoNotConsent #scam",0,1,True
25,1352381030922072064,Cagsil,USA,"Knowledge, Experience & Wisdom Is Shared. It's Known Universal Knowledge & Truth Exists. #Cagsil #EqualRights #Advocate #Activist #Consciousness",2010-02-25 02:10:51,6332,2021-01-21 22:22:18,"Now would be extremely helpful to the rest of us. Just to let you know. No pressure, but a decision will come soon.… https://t.co/SVgiUWcviD",6,4,True
26,1352377033951744005,SasTrendy,,"I am an #empath 🔮🌌 I produce #Beats 🎵🎶 #Producer,  Fibromyalgia, DDD, love creating clothing & toys with my hands & photography &  my eyes/soul",2019-12-23 22:39:46,921,2021-01-21 22:06:25,@moondoggsikes80 They will not because #IDoNotConsent and #wedonotconsent but they WILL try!!,2,0,False
27,1352372846538928128,trippin_free,Astral Realm ,"❌🎯🆘👀The human mind can only stand so much all the truth in the world adds up to one big lie❌
#TargetedIndividuals #Gangstalking #BAN5G #OpenYourMind #NWO ⚠️",2019-07-20 20:01:26,12196,2021-01-21 21:49:47,"RT @trippin_free: #Distophia #Future
#FuckThe33 #FuckTheNewWorld
#idonotconsent neither should anyone. You are giving up ur #FreeWill This…",0,7,True
28,1352372029475983361,TimesAreStrang5,Astral Realm ,"🆘🎯👀❌An Infinite Spiritual Being, that likes to play with fire🔥❌#Gangstalking  #SpiritualWarfare #TargetedIndividuals #Remoteviewing #BAN5G #NWO ⚠️",2019-08-24 06:55:48,4642,2021-01-21 21:46:32,"RT @trippin_free: #Distophia #Future
#FuckThe33 #FuckTheNewWorld
#idonotconsent neither should anyone. You are giving up ur #FreeWill This…",0,7,True
29,1352370513503522819,trippin_free,Astral Realm ,"❌🎯🆘👀The human mind can only stand so much all the truth in the world adds up to one big lie❌
#TargetedIndividuals #Gangstalking #BAN5G #OpenYourMind #NWO ⚠️",2019-07-20 20:01:26,12196,2021-01-21 21:40:30,"#Distophia #Future
#FuckThe33 #FuckTheNewWorld
#idonotconsent neither should anyone. You are giving up ur #FreeWill… https://t.co/3vS7hZJ1Ns",15,7,True
