,id,user_name,user_location,user_description,user_created,user_followers,date,text,favorites,retweets,is_retweet
0,1359189917339947011,kimavh,"Wylie, Texas","Wife, Mom, Science Ed PhD, Program Coord, and HUGE Rick Springfield fan!",2009-05-27 20:54:29,212,2021-02-09 17:18:23,COVID-19 Vaccine #1 done! 💉🦠  #igottheshot #redbirdmall #utsouthwestern https://t.co/DzTSJNIXkY,1,0,False
1,1359189258418982916,MAHealthHosp,"Massachusetts, USA",Promoting the good health of the people of the Commonwealth.,2009-09-30 21:26:56,3980,2021-02-09 17:15:46,"RT @northshoremed: ""I just received the COVID-19 vaccine and I now feel more safe as I go back to the frontlines of this serious pandemic,""…",0,1,True
2,1359174534583181315,northshoremed,North Shore of Massachusetts,"Official twitter feed of North Shore Medical Center, the North Shore’s largest healthcare provider and a member of Mass General Brigham",2012-04-06 14:52:39,1931,2021-02-09 16:17:15,"""I just received the COVID-19 vaccine and I now feel more safe as I go back to the frontlines of this serious pande… https://t.co/O1O3qNPstY",3,1,True
3,1359165878370238474,GalwayCSD,"Galway, NY",Educate all students to their highest level of academic performance | Foster positive growth in social/emotional behavior,2018-08-13 16:22:02,216,2021-02-09 15:42:52,"RT @SaratogaChamber: Thanks @WSWHEBOCES for hosting a vaccination clinic for eligible staff members of @sscsdschools, @BSCSD  Corinth Centr…",0,1,True
4,1359159603787935745,gcavello,Duncanville TX.,Prayer is the key! Never stop praying!  God is Good!,2008-10-20 12:42:22,123,2021-02-09 15:17:56,Jjust got our 2nd dose of the Pfizer Covid-19 Vaccine! #COVID19 #vacine #utsw #utsouthwestern   #igottheshot https://t.co/dpqjBr2KTA,2,0,False
5,1359159030116212752,SaratogaChamber,,We believe in opening doors & closing deals. #ilovesaratoga #saveourlocals #healthysaratoga. Follow our President @toddshimkus as we implement inspiration.,2008-09-26 02:39:14,8831,2021-02-09 15:15:39,"Thanks @WSWHEBOCES for hosting a vaccination clinic for eligible staff members of @sscsdschools, @BSCSD  Corinth Ce… https://t.co/G6loaa8N4o",8,1,True
6,1359158891586723842,sondravet22,,"I AM A VIETNAM ERA SERVICE CONNECTED VET. I BEGAN 2016 AS VPWABSE ON FB, 5 STARS ON INSTA AS TODAYVETERAN.SONDRAVET22 ON TWITTER 8/2020 MENTAL HEALTH ADVOCATE",2019-01-18 07:11:11,159,2021-02-09 15:15:06,"RT @medcoe: #GetTheShot💉🦠 

Mr. Duane Hill, #MEDCoE Department Leader Training (DLT) is a married father of two teenage daughters. Mr. Hill…",0,3,True
7,1359154336480264205,LAChapterAcp,"Baton Rouge, LA",,2019-10-28 15:02:31,44,2021-02-09 14:57:00,"RT @ACPinternists: Help end the #pandemic. Get a #COVIDVaccine 💉, snap a photo while getting vaccinated, &amp; share it with #IMVaccinated, #IG…",0,7,True
8,1359149096733442048,RCGibby73,Royse City ,"Co-Founder of @NYJetsfansofDFW, Ambit Energy Marketer, Jets-Islanders-Mets, MCFC, Outdoors enthusiast. thanks for following!",2011-07-24 19:49:34,2166,2021-02-09 14:36:11,"Oh yeah, this happened yesterday! 2nd round in 20 days. #igottheshot https://t.co/T7wDHmzexR",7,0,False
9,1359146368988712960,acoi_org,"Rockville, Maryland","The ACOI seeks to be the organization that osteopathic internists think of first for education, information, representation and service to the profession.",2012-04-17 15:54:14,767,2021-02-09 14:25:20,"Michael J. Menolasino, DO, FACOI has been working tirelessly in Ohio since the onset of the pandemic. We're happy t… https://t.co/EPIe64WUim",0,0,False
10,1359140806737682437,RealLuciferLGG,GALAZIA,"PRESIDENTE DEL NUEVO ORDEN MUNDIAL: LUCIFER JR. ZON -

PRESIDENTA EEUU: LUCIFER LGG

*REAL CUENTA DE VATICANO!
REAL MOSSAD! SALUD!",2020-12-21 21:49:18,87,2021-02-09 14:03:14,"RT @USArmyEURAF: #IGotTheShot 👍 

Last month, @USArmyEURAF senior staff received their first rounds of #COVIDVaccine at #Wiesbaden Army Hea…",0,2,True
11,1359140421167898633,KCKSDeltas,"Kansas City, KS","This is the official Kansas City (KS) Alumnae Chapter of Delta Sigma Theta Sorority, Inc.",2012-07-14 15:11:26,54,2021-02-09 14:01:42,"#MyWhy (Soror Dr. Khiara Drew-Gilmore) I chose to be vaccinated to protect myself and my loved ones, I trust God...… https://t.co/psFBQ17nns",0,0,False
12,1359140374615379975,PennMarHumanSrv,Maryland & Pennsylvania,Penn-Mar Human Services is a nonprofit organization that supports people with disabilities in northern Maryland and southern Pennsylvania.,2012-02-02 17:23:30,372,2021-02-09 14:01:31,"Residential Supervisor Rachel says #IGotTheShot ""to protect the pople I support, my family, and coworkers!""

Rachel… https://t.co/mFaI17WXhh",1,0,False
13,1359140132981534728,USArmyEURAF,"Wiesbaden, Germany","The official Twitter page of U.S. Army Europe and Africa
#StrongEurope + #StrongAfrica = #StrongerTogether
(Following, RTs and links ≠ endorsement)",2009-05-14 12:49:54,211392,2021-02-09 14:00:33,"#IGotTheShot 👍 

Last month, @USArmyEURAF senior staff received their first rounds of #COVIDVaccine at #Wiesbaden A… https://t.co/KQfJ8aHGWz",12,2,True
14,1359139995848744965,yrubored,,"Advocate. 
Investor. 
Dreamchaser.  
RT = Read This!",2011-04-29 21:27:24,522,2021-02-09 14:00:01,RT @MGKnightMD: My COVID-19 Vaccine Experience: 28 Days to 95% Protection https://t.co/HfBp2Z9rUA via @YouTube #igottheshot,0,2,True
15,1359138139667841027,NationalMedAssn,"Silver Spring, Maryland",The collective voice of AA physicians & leading force for parity & justice in medicine. Learn more at https://t.co/LNya7yP4v0 or on FB & IG @NationalMedAssn,2008-12-09 14:40:07,9144,2021-02-09 13:52:38,RT @MGKnightMD: My COVID-19 Vaccine Experience: 28 Days to 95% Protection https://t.co/HfBp2Z9rUA via @YouTube #igottheshot,0,2,True
16,1359134752821895172,BHCHP,Boston,Boston Health Care for the Homeless Program provides homeless individuals & families in the greater Boston area with access to the highest quality health care.,2010-03-17 18:33:07,4457,2021-02-09 13:39:11,"RT @DisruptPoverty: Staff at our large congregate shelter got vaccinated last week and we are celebrating!!!!!!! TY @BHCHP for a quick, smo…",0,2,True
17,1359119773691379713,aishaa_liyana,Malaysia,"Talk Less, More Act, Dont Lies yourself, Proove most important! Promise do Anything to me for GOD",2020-09-14 13:49:05,479,2021-02-09 12:39:39,"RT @medcoe: #GetTheShot💉🦠 

Mr. Duane Hill, #MEDCoE Department Leader Training (DLT) is a married father of two teenage daughters. Mr. Hill…",0,3,True
18,1359111074100912132,rose_cpnp,"New Jersey, USA","Nurse leader, Mom, Program Director of Nurse Practitioners, CrossFit, Marathoner, champion for civility in workplace",2018-05-10 18:09:11,32,2021-02-09 12:05:05,@nyphospital #vaccinated  #COVID19Vaccination Super Bowl LV honored vaccinated healthcare heroes! MSCH Peds Heme/On… https://t.co/47SgiqsF1f,3,0,False
19,1359083073111949324,magic_knight9,,意味不明なアカウントとそれに付随するＢＯＴ及びエロアカウントのフォローはお断りしております。※エロ出会い系・金儲けノウハウ関連・LINE・パチスロがメインのアカウント等のフォローはお断りします。,2014-08-11 23:41:45,153,2021-02-09 10:13:49,"RT @DeptofDefense: #IGotTheShot: @USArmy Gen. Christopher Cavoli, commanding general of @USArmyEURAF, explains why he decided to get the #C…",0,95,True
20,1359064914812370944,OpenUrEyes2021,,,2018-05-12 17:08:22,46,2021-02-09 09:01:40,RT @karenreid29: @epdevilla You have provided zero evidence for masking our children. Provide the evidence now. #unmaskourkids,0,1,True
21,1359060153123942403,MinalAhson,,"Physician. Humanitarian. Explorer.   

Just trying to do my part in the world. 🌎",2018-01-12 13:58:57,70,2021-02-09 08:42:45,"RT @USFHospMed: After all we’ve been through this year, we’re honored to be recognized by @nfl for our work on the frontlines of the #covid…",0,3,True
22,1358994571846385671,35ENWarriors,,"The Warrior Battalion is composed of diverse, skilled, and well trained Soldiers across four OSUT companies and the Combat Engineer Skills Division.",2020-07-02 23:05:30,625,2021-02-09 04:22:09,"RT @fortleonardwood: #IGotTheShot: Staff Sgt. Mohamed Fouad, drill sergeant with Co. A, 35th Engineer Battalion, shares why he got the #COV…",0,5,True
23,1358975588086632453,LChesNerd,"San Francisco, CA",Postdoc at UCSF studying the role of MHC class I and DNA repair in prostate cancer treatment #FirstGenCollegeGrad #WomenInSTEM,2019-03-07 06:24:56,100,2021-02-09 03:06:43,Today is a good day #igottheshot #UCSFproud @UCSF @UCSFHospitals https://t.co/T2ucJyvMme,6,0,False
24,1358966047890690048,medcoe,"JBSA-Fort Sam Houston, Texas",The official Twitter page for the U.S. Army Medical Center of Excellence (MEDCoE). (Follow/RT/Like ≠ endorsement).,2018-07-27 21:13:03,755,2021-02-09 02:28:48,"#GetTheShot💉🦠 

Mr. Duane Hill, #MEDCoE Department Leader Training (DLT) is a married father of two teenage daughte… https://t.co/P8pt7PNnAv",6,3,True
25,1358963296930529281,sondravet22,,"I AM A VIETNAM ERA SERVICE CONNECTED VET. I BEGAN 2016 AS VPWABSE ON FB, 5 STARS ON INSTA AS TODAYVETERAN.SONDRAVET22 ON TWITTER 8/2020 MENTAL HEALTH ADVOCATE",2019-01-18 07:11:11,159,2021-02-09 02:17:52,"RT @fortleonardwood: Check out why Vanessa Arzabala, #FortLeonardWood Transition Education counselor, received the vaccine.
#igottheshot #c…",0,4,True
26,1358961906678177798,MSCoECG,,Maneuver Support Center of Excellence and Fort Leonard Wood Commanding General. RLTW. https://t.co/uPOcCywgEz (Following does not=endorsement.),2020-04-01 19:21:47,1648,2021-02-09 02:12:21,"RT @fortleonardwood: Check out why Vanessa Arzabala, #FortLeonardWood Transition Education counselor, received the vaccine.
#igottheshot #c…",0,4,True
27,1358961780307988486,MSCoECG,,Maneuver Support Center of Excellence and Fort Leonard Wood Commanding General. RLTW. https://t.co/uPOcCywgEz (Following does not=endorsement.),2020-04-01 19:21:47,1648,2021-02-09 02:11:51,"RT @fortleonardwood: #IGotTheShot: Staff Sgt. Mohamed Fouad, drill sergeant with Co. A, 35th Engineer Battalion, shares why he got the #COV…",0,5,True
28,1358957640198443008,_daisycamila,"California, USA",|23| Let your faith be bigger than your fear. 🤍,2013-01-01 11:52:23,442,2021-02-09 01:55:24,Today was a very good day. 💉❤️#IGotTheShot #IGotTheVax https://t.co/gNAvuW7SMy,0,0,False
29,1358956042395111426,kumar_ranjeet,Delhi India ,Philanthropist & Goodwill Ambassador !!,2010-05-19 11:42:36,1091,2021-02-09 01:49:03,"RT @Drjhoffmanmiami: Health care professionals! When you get #COVID vaccine- tweet pic, with #igottheshot hashtag. Let’s help reassure publ…",0,19,True
30,1358948434531602435,EileenBarrettNM,,"Internal medicine hospitalist, medical educator, District Chair @societyhospmed, volunteer, #Thisisourlane #medtwitter #BLM Tweets/opinions are personal.",2017-11-05 04:08:56,2304,2021-02-09 01:18:49,"Grateful to speak with Richard Eeds about CoVid, vaccines, public health #igottheshot #NewMexico #maskup… https://t.co/NmbkQkzan6",8,0,False
31,1358942144304619520,DalcerriWells,Roseville,"6th grade Math/Science Teacher, Aspiring Administrator, Hike Docent, Trail Runner, Bird Watcher, Backpacker, and House Concert Host",2019-10-09 02:12:21,31,2021-02-09 00:53:49,Thank goodness for science! I can’t wait to offer a student a high five or a hug again. #igottheshot… https://t.co/3Ef0geDrVS,4,0,False
32,1358929531302731776,karenreid29,Toronto,Global Talent Acquisition - Strategic Assessments at Accenture,2010-10-21 22:51:55,269,2021-02-09 00:03:42,@epdevilla You have provided zero evidence for masking our children. Provide the evidence now. #unmaskourkids,2,1,True
